370.91	2.49	4.16	367445.81	2.96	4.05	343664.03	3.19	4.42	360580.11	3.06	4.75	385859.03	3.75	4.88	371544.56
372.49	2.66	4.24	365013.23	3.01	4.06	340692.46	3.26	4.4	355481.87	3.16	4.77	381934.06	3.71	4.87	370427.48
374.08	2.84	4.3	361475.96	3.06	4.06	337657.13	3.32	4.38	350449.37	3.26	4.78	377708.81	3.69	4.87	369467.76
375.66	3.03	4.35	356821.71	3.11	4.06	334572.7	3.39	4.36	345507.7	3.35	4.78	373213.67	3.68	4.88	368489.63
377.24	3.22	4.39	351058.8	3.16	4.06	331456.41	3.45	4.33	340679.32	3.45	4.78	368481.29	3.69	4.89	367373.02
378.82	3.42	4.4	344218.98	3.21	4.05	328327.51	3.5	4.31	335983.99	3.54	4.77	363548.43	3.71	4.9	366036.67
380.4	3.62	4.4	336357.38	3.25	4.05	325208.33	3.55	4.28	331439.24	3.63	4.76	358454.3	3.73	4.91	364428.53
381.99	3.83	4.37	327551.76	3.29	4.04	322124.02	3.6	4.26	327060.27	3.72	4.74	353239.66	3.77	4.92	362519.35
383.57	4.02	4.32	317902.09	3.33	4.03	319102.8	3.64	4.23	322859.91	3.81	4.72	347947.12	3.81	4.93	360295.96
385.15	4.22	4.26	307524.76	3.37	4.02	316174.17	3.68	4.21	318848.61	3.89	4.69	342619.33	3.86	4.93	357757.28
386.74	4.4	4.18	296550.17	3.4	4.02	313372.03	3.72	4.18	315034.72	3.96	4.66	337297.6	3.91	4.94	354912.3
388.32	4.57	4.08	285116.4	3.43	4.01	310730.77	3.75	4.16	311423.94	4.03	4.63	332023.64	3.97	4.93	351777.11
389.9	4.73	3.96	273365.19	3.46	4	308287.24	3.78	4.14	308020.05	4.09	4.59	326836.33	4.03	4.93	348373.1
391.49	4.87	3.83	261434.75	3.49	4	306078.04	3.81	4.12	304824.24	4.15	4.55	321771.03	4.09	4.92	344725.51
393.07	5	3.7	249457.38	3.51	4	304140	3.84	4.11	301835.61	4.21	4.51	316860.83	4.15	4.9	340862.56
394.65	5.11	3.55	237553.18	3.53	4	302508.19	3.87	4.09	299050.51	4.25	4.48	312133.91	4.21	4.89	336814.36
396.24	5.21	3.4	225829.68	3.54	4	301213.43	3.89	4.08	296463.26	4.3	4.44	307614.03	4.28	4.86	332611.28
397.82	5.28	3.25	214378.88	3.56	4.02	300281.73	3.92	4.07	294065.51	4.34	4.4	303320.19	4.34	4.84	328283.62
399.4	5.34	3.1	203276.2	3.57	4.03	299729.55	3.94	4.06	291846.54	4.37	4.37	299265.78	4.4	4.81	323862.15
400.99	5.39	2.95	192582.42	3.58	4.05	299562.11	3.96	4.06	289792.01	4.41	4.34	295458.96	4.45	4.78	319376.2
402.57	5.42	2.81	182341.93	3.6	4.08	299768.77	3.99	4.06	287886.4	4.44	4.31	291901.61	4.51	4.74	314853.19
404.16	5.45	2.66	172587.21	3.62	4.12	300320.86	4.01	4.06	286110.2	4.46	4.28	288591.72	4.56	4.7	310319.38
405.74	5.45	2.53	163337.51	3.64	4.17	301165.74	4.04	4.06	284442.43	4.49	4.26	285520.24	4.61	4.67	305799.06
407.33	5.45	2.39	154602.47	3.67	4.22	302224.3	4.07	4.06	282858.58	4.51	4.24	282674.09	4.66	4.63	301314.2
408.91	5.44	2.27	146382.52	3.71	4.28	303388.87	4.1	4.07	281332.69	4.53	4.22	280035.21	4.7	4.59	296884.58
410.5	5.43	2.15	138672.64	3.76	4.34	304521.67	4.13	4.07	279836.54	4.56	4.21	277582.53	4.74	4.54	292527.63
412.08	5.4	2.04	131460.88	3.83	4.4	305456.69	4.17	4.08	278341.52	4.58	4.19	275290.5	4.78	4.5	288259.08
413.67	5.37	1.93	124732.33	3.91	4.47	306005.53	4.2	4.09	276817.37	4.61	4.18	273131.3	4.81	4.46	284091.7
415.25	5.34	1.83	118469.14	4	4.53	305966.41	4.24	4.1	275234.65	4.63	4.18	271076.34	4.84	4.42	280036.34
416.84	5.3	1.74	112651.48	4.11	4.59	305139.75	4.29	4.1	273564.69	4.66	4.17	269095.09	4.87	4.38	276102.16
418.42	5.26	1.66	107257.45	4.24	4.63	303345.77	4.33	4.11	271781.65	4.69	4.16	267158.11	4.9	4.34	272295.51
420.01	5.21	1.58	102266.81	4.38	4.66	300444.95	4.38	4.11	269861.97	4.72	4.16	265237.33	4.93	4.3	268622.41
421.59	5.17	1.5	97657.01	4.53	4.67	296359.16	4.43	4.11	267786.93	4.75	4.16	263306.07	4.95	4.26	265085.54
423.18	5.12	1.44	93407.8	4.69	4.66	291086.76	4.49	4.11	265542.72	4.79	4.15	261340.86	4.97	4.22	261687.4
424.77	5.07	1.37	89498.55	4.85	4.62	284708.99	4.54	4.11	263120.19	4.82	4.15	259321.87	4.99	4.19	258428.13
426.35	5.02	1.32	85910.17	5	4.57	277387.72	4.6	4.1	260517.58	4.86	4.14	257233.56	5	4.16	255307.43
427.94	4.96	1.26	82624.11	5.14	4.49	269348.07	4.65	4.09	257738.06	4.9	4.13	255064.97	5.02	4.12	252323.46
429.52	4.91	1.22	79623.83	5.26	4.39	260854.8	4.71	4.07	254791.1	4.94	4.12	252809.27	5.04	4.09	249473.45
431.11	4.86	1.17	76893.4	5.37	4.28	252183.87	4.76	4.05	251691.55	4.98	4.11	250464.96	5.05	4.07	246754.03
432.7	4.8	1.13	74418.5	5.46	4.16	243570.64	4.82	4.03	248458.39	5.02	4.1	248034.09	5.06	4.04	244160.48
434.28	4.75	1.09	72186.49	5.53	4.04	235097.22	4.87	4	245114.22	5.06	4.08	245523.38	5.08	4.01	241688.22
435.87	4.69	1.06	70186.07	5.58	3.92	226955.83	4.92	3.98	241684.74	5.1	4.06	242942.61	5.09	3.99	239331.02
437.46	4.64	1.03	68407.26	5.61	3.8	219308.67	4.97	3.94	238196.51	5.14	4.04	240304.71	5.1	3.97	237083.96
439.05	4.59	1.01	66842.22	5.63	3.69	212260.28	5.01	3.91	234676.21	5.18	4.02	237624.57	5.11	3.95	234940.1
440.63	4.53	0.98	65484.65	5.63	3.58	205867.77	5.06	3.87	231150.4	5.22	4	234918.04	5.12	3.93	232892.62
442.22	4.48	0.96	64330.63	5.63	3.49	200149.73	5.09	3.84	227644.21	5.26	3.98	232202.23	5.13	3.91	230935.42
443.81	4.42	0.95	63377.37	5.62	3.4	195096.57	5.13	3.8	224179.99	5.29	3.95	229493.86	5.15	3.9	229060.64
445.39	4.36	0.93	62625.85	5.6	3.33	190678.65	5.16	3.76	220778.51	5.33	3.93	226809.27	5.16	3.88	227261.54
446.98	4.31	0.92	62079.25	5.58	3.26	186852.59	5.19	3.72	217457.57	5.36	3.9	224163.84	5.17	3.87	225531.02
448.57	4.25	0.91	61744.4	5.55	3.2	183566.62	5.22	3.68	214232.22	5.39	3.88	221571.13	5.19	3.86	223861.86
450.16	4.2	0.91	61633.25	5.53	3.16	180765.47	5.24	3.65	211114.38	5.41	3.85	219042.94	5.2	3.85	222246.52
451.75	4.14	0.91	61761.25	5.5	3.12	178392.55	5.26	3.61	208113.47	5.44	3.83	216588.31	5.22	3.84	220678.3
453.33	4.08	0.91	62151.14	5.48	3.09	176391.36	5.28	3.57	205236.72	5.46	3.8	214214.66	5.23	3.83	219149.91
454.92	4.02	0.92	62830.56	5.46	3.06	174708.26	5.29	3.54	202488.89	5.49	3.78	211926.34	5.25	3.82	217654.83
